# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	27121	28542	-						7149509	ECIAI39_0024	1422		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	27121	28542	-	YP_002406072.1	WP_000129330.1		hypothetical protein		7149509	ECIAI39_0024	1422	473	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29026	29289	-					rpsT	7149510	ECIAI39_0025	264		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29026	29289	-	YP_002406073.1	WP_001274021.1		30S ribosomal protein S20	rpsT	7149510	ECIAI39_0025	264	87	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29618	30559	+					ribF	7152732	ECIAI39_0026	942		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29618	30559	+	YP_002406074.1	WP_000767329.1		bifunctional riboflavin kinase/FMN adenylyltransferase	ribF	7152732	ECIAI39_0026	942	313	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	30602	33418	+					ileS	7152630	ECIAI39_0027	2817		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	30602	33418	+	YP_002406075.1	WP_001286881.1		isoleucyl-tRNA synthetase	ileS	7152630	ECIAI39_0027	2817	938	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	33418	33912	+					lspA	7151762	ECIAI39_0028	495		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	33418	33912	+	YP_002406076.1	WP_000083369.1		lipoprotein signal peptidase	lspA	7151762	ECIAI39_0028	495	164	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34000	34449	+					fkpB	7151975	ECIAI39_0029	450		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34000	34449	+	YP_002406077.1	WP_000004655.1		FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB	7151975	ECIAI39_0029	450	149	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34451	35401	+					ispH	7151346	ECIAI39_0030	951		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34451	35401	+	YP_002406078.1	WP_001166395.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	7151346	ECIAI39_0030	951	316	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	35467	36381	+					rihC	7151857	ECIAI39_0031	915		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	35467	36381	+	YP_002406079.1	WP_001239147.1		ribonucleoside hydrolase RihC	rihC	7151857	ECIAI39_0031	915	304	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	36548	37369	+					dapB	7152633	ECIAI39_0032	822		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	36548	37369	+	YP_002406080.1	WP_000543585.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB	7152633	ECIAI39_0032	822	273	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	37825	38973	+					carA	7151085	ECIAI39_0033	1149		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	37825	38973	+	YP_002406081.1	WP_001558523.1		carbamoyl phosphate synthase small subunit	carA	7151085	ECIAI39_0033	1149	382	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	38991	42212	+					carB	7150902	ECIAI39_0034	3222		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	38991	42212	+	YP_002406082.1	WP_001126385.1		carbamoyl phosphate synthase large subunit	carB	7150902	ECIAI39_0034	3222	1073	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42473	42868	+					caiF	7150903	ECIAI39_0035	396		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42473	42868	+	YP_002406083.1	WP_000333125.1		DNA-binding transcriptional activator CaiF	caiF	7150903	ECIAI39_0035	396	131	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42987	43577	-					caiE	7150899	ECIAI39_0036	591		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42987	43577	-	YP_002406084.1	WP_000122874.1		carnitine operon protein CaiE	caiE	7150899	ECIAI39_0036	591	196	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	43583	44368	-					caiD	7150898	ECIAI39_0037	786		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	43583	44368	-	YP_002406085.2	WP_000004399.1		carnitinyl-CoA dehydratase	caiD	7150898	ECIAI39_0037	786	261	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	44477	46045	-					caiC	7150897	ECIAI39_0038	1569		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	44477	46045	-	YP_002406086.1	WP_000373662.1		putative crotonobetaine/carnitine-CoA ligase	caiC	7150897	ECIAI39_0038	1569	522	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	46103	47320	-					caiB	7150896	ECIAI39_0039	1218		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	46103	47320	-	YP_002406087.1	WP_000349942.1		crotonobetainyl-CoA:carnitine CoA-transferase	caiB	7150896	ECIAI39_0039	1218	405	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	47449	48591	-					caiA	7150895	ECIAI39_0040	1143		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	47449	48591	-	YP_002406088.1	WP_000347117.1		crotonobetainyl-CoA dehydrogenase	caiA	7150895	ECIAI39_0040	1143	380	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	48622	50136	-					caiT	7150894	ECIAI39_0041	1515		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	48622	50136	-	YP_002406089.1	WP_000787109.1		L-carnitine/gamma-butyrobetaine antiporter	caiT	7150894	ECIAI39_0041	1515	504	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	50609	51379	+					fixA	7150900	ECIAI39_0042	771		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	50609	51379	+	YP_002406090.1	WP_000692225.1		putative electron transfer flavoprotein FixA	fixA	7150900	ECIAI39_0042	771	256	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	51394	52335	+					fixB	7151340	ECIAI39_0043	942		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	51394	52335	+	YP_002406091.1	WP_001091510.1		putative electron transfer flavoprotein FixB	fixB	7151340	ECIAI39_0043	942	313	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	52386	53672	+					fixC	7151341	ECIAI39_0044	1287		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	52386	53672	+	YP_002406092.1	WP_001287712.1		putative oxidoreductase	fixC	7151341	ECIAI39_0044	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	53669	53956	+					fixX	7151342	ECIAI39_0045	288		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	53669	53956	+	YP_002406093.1	WP_000203741.1		putative 4Fe-4S ferredoxin	fixX	7151342	ECIAI39_0045	288	95	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	54014	55345	+					yaaU	7151343	ECIAI39_0046	1332		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	54014	55345	+	YP_002406094.1	WP_001183201.1		putative transporter	yaaU	7151343	ECIAI39_0046	1332	443	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55453	55983	+					kefF	7153195	ECIAI39_0047	531		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55453	55983	+	YP_002406095.1	WP_000600725.1		glutathione-regulated potassium-efflux system ancillary protein KefF	kefF	7153195	ECIAI39_0047	531	176	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55976	57838	+					kefC	7151896	ECIAI39_0048	1863		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55976	57838	+	YP_002406096.1	WP_000377135.1		glutathione-regulated potassium-efflux system protein KefC	kefC	7151896	ECIAI39_0048	1863	620	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58030	58509	+					folA	7151895	ECIAI39_0049	480		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58030	58509	+	YP_002406097.1	WP_000624375.1		dihydrofolate reductase	folA	7151895	ECIAI39_0049	480	159	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58595	58828	+						7151397	ECIAI39_0050	234		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58595	58828	+	YP_002406098.1	WP_000125568.1		putative antitoxin of gyrase inhibiting toxin-antitoxin system		7151397	ECIAI39_0050	234	77	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58831	59145	+						7149511	ECIAI39_0051	315		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58831	59145	+	YP_002406099.1	WP_001160965.1		putative toxin of gyrase inhibiting toxin-antitoxin system		7149511	ECIAI39_0051	315	104	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59142	59990	-					apaH	7149512	ECIAI39_0052	849		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59142	59990	-	YP_002406100.1	WP_000257195.1		diadenosine tetraphosphatase	apaH	7149512	ECIAI39_0052	849	282	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59997	60374	-					apaG	7150740	ECIAI39_0053	378		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59997	60374	-	YP_002406101.1	WP_000610901.1		ApaG protein	apaG	7150740	ECIAI39_0053	378	125	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	60377	61198	-					ksgA	7150739	ECIAI39_0054	822		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	60377	61198	-	YP_002406102.1	WP_001065381.1		dimethyladenosine transferase	ksgA	7150739	ECIAI39_0054	822	273	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	61195	62184	-					pdxA	7151910	ECIAI39_0055	990		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	61195	62184	-	YP_002406103.1	WP_000241224.1		4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	7151910	ECIAI39_0055	990	329	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	62184	63470	-					surA	7152355	ECIAI39_0056	1287		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	62184	63470	-	YP_002406104.1	WP_000800457.1		peptidyl-prolyl cis-trans isomerase SurA	surA	7152355	ECIAI39_0056	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	63523	65877	-					imp	7152932	ECIAI39_0057	2355		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	63523	65877	-	YP_002406105.1	WP_000746151.1		organic solvent tolerance protein	imp	7152932	ECIAI39_0057	2355	784	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	66132	66947	+					djlA	7151775	ECIAI39_0058	816		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	66132	66947	+	YP_002406106.1	WP_001200573.1		Dna-J like membrane chaperone protein	djlA	7151775	ECIAI39_0058	816	271	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67021	67551	+						7151144	ECIAI39_0059	531		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67021	67551	+	YP_002406107.1	WP_012602161.1		transposase ORF A, IS1397		7151144	ECIAI39_0059	531	176	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67656	68378	+						7149513	ECIAI39_0060	723		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67656	68378	+	YP_002406108.1	WP_000811395.1		transposase ORF B, IS3 family, IS150 group		7149513	ECIAI39_0060	723	240	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	68500	69159	-					rluA	7149514	ECIAI39_0061	660		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	68500	69159	-	YP_002406109.1	WP_000525176.1		23S rRNA/tRNA pseudouridine synthase A	rluA	7149514	ECIAI39_0061	660	219	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	69171	72077	-					hepA	7152641	ECIAI39_0062	2907		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	69171	72077	-	YP_002406110.1	WP_001117001.1		ATP-dependent helicase HepA	hepA	7152641	ECIAI39_0062	2907	968	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	72241	74592	-					polB	7151636	ECIAI39_0063	2352		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	72241	74592	-	YP_002406111.1	WP_000035641.1		DNA polymerase II	polB	7151636	ECIAI39_0063	2352	783	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	74667	75362	-					araD	7152440	ECIAI39_0064	696		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	74667	75362	-	YP_002406112.1	WP_000888698.1		L-ribulose-5-phosphate 4-epimerase	araD	7152440	ECIAI39_0064	696	231	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	75477	76979	-					araA	7150750	ECIAI39_0065	1503		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	75477	76979	-	YP_002406113.1	WP_000151725.1		L-arabinose isomerase	araA	7150750	ECIAI39_0065	1503	500	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	76990	78690	-					araB	7150747	ECIAI39_0066	1701		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	76990	78690	-	YP_002406114.1	WP_000951836.1		ribulokinase	araB	7150747	ECIAI39_0066	1701	566	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	78978	79874	+					araC	7150748	ECIAI39_0067	897		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	78978	79874	+	YP_002406115.1	WP_012602162.1		DNA-binding transcriptional regulator AraC	araC	7150748	ECIAI39_0067	897	298	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	80385	81236	+						7150749	ECIAI39_0068	852		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	80385	81236	+	YP_002406116.1	WP_012602163.1		hypothetical protein		7150749	ECIAI39_0068	852	283	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81243	81665	+						7149515	ECIAI39_0069	423		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81243	81665	+	YP_002406117.1	WP_000049680.1		hypothetical protein		7149515	ECIAI39_0069	423	140	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81820	82584	+					yabI	7149516	ECIAI39_0070	765		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81820	82584	+	YP_002406118.1	WP_001148403.1		hypothetical protein	yabI	7149516	ECIAI39_0070	765	254	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	82666	83364	-					thiQ	7153197	ECIAI39_0071	699		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	82666	83364	-	YP_002406119.1	WP_000916274.1		thiamine transporter ATP-binding subunit	thiQ	7153197	ECIAI39_0071	699	232	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	83348	84958	-					thiP	7152975	ECIAI39_0072	1611		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	83348	84958	-	YP_002406120.1	WP_000235674.1		thiamine transporter membrane protein	thiP	7152975	ECIAI39_0072	1611	536	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	84934	85917	-					tbpA	7152974	ECIAI39_0073	984		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	84934	85917	-	YP_002406121.1	WP_012602164.1		thiamine transporter substrate binding subunit	tbpA	7152974	ECIAI39_0073	984	327	
gene	misc_RNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	85948	86047	-						7152952	ECIAI39_misc_RNA_4	100		
misc_RNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	85948	86047	-				TPP		7152952	ECIAI39_misc_RNA_4	100		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	86288	86857	+						7150531	ECIAI39_0074	570		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	86288	86857	+	YP_002406122.1	WP_000868329.1		hypothetical protein		7150531	ECIAI39_0074	570	189	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	87087	88766	-					sgrR	7149517	ECIAI39_0075	1680		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	87087	88766	-	YP_002406123.1	WP_012602165.1		transcriptional regulator SgrR	sgrR	7149517	ECIAI39_0075	1680	559	
gene	misc_RNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	88813	89038	+					sgrS	7152847	ECIAI39_misc_RNA_5	226		
misc_RNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	88813	89038	+				SgrS	sgrS	7152847	ECIAI39_misc_RNA_5	226		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	89073	89678	-					leuD	7152848	ECIAI39_0076	606		
